Pathway name	RSPSS4	RSBA7	RSMOLK2	RSRUN2340	RSCFB2957	RSBDBR229	RSGMI1000	RSK60	RSPSI07	RSR24	RSUW551
fluorene_degradation	[]	[R_34DHDHF]	[R_34DHDHF]	[R_34DHDHF]	[R_34DHDHF]	[R_34DHDHF]	[R_34DHDHF]	[R_34DHDHF]	[R_34DHDHF]	[R_34DHDHF]	[R_34DHDHF]
fluorobenzoate_degradation	[R_BZOTD3, R_BZOTD5, R_BZ12DOX, R_BZOTD4, R_BZOTD7, R_16DCDC4, R_16DCDC3, R_16DCDC2, R_CATCHDG6, R_MCCIS5, R_CATCHDG7]	[R_FLBZDD]	[R_FLBZDD]	[R_BZOTD3, R_BZOTD5, R_BZ12DOX, R_BZOTD4, R_BZOTD7, R_FLBZDD, R_16DCDC4, R_16DCDC3, R_16DCDC2, R_CATCHDG6, R_MCCIS5, R_CATCHDG7]	[R_FLBZDD]	[R_FLBZDD]	[R_BZOTD3, R_BZOTD5, R_BZ12DOX, R_BZOTD4, R_BZOTD7, R_FLBZDD, R_16DCDC4, R_16DCDC3, R_16DCDC2, R_CATCHDG6, R_MCCIS5, R_CATCHDG7]	[R_FLBZDD]	[R_FLBZDD]	[R_FLBZDD, R_CATCHDG6, R_MCCIS5, R_CATCHDG7]	[R_FLBZDD]
folate_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
folate_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
fructose_and_mannose_metabolism	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
fructose_and_mannose_metabolism	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
fructose_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
galactose_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
gamma_hexachlorocyclohexane_degradation	[R_CATCHDG2, R_CATCHDG3]	[]	[]	[R_CATCHDG2, R_CATCHDG3]	[]	[]	[R_CATCHDG2, R_CATCHDG3]	[]	[]	[R_CATCHDG2, R_CATCHDG3]	[]
gdp_mannose_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
gentisate_degradation	[]	[]	[]	[]	[R_MALPYRI, R_GENDO]	[]	[]	[R_MALPYRI, R_GENDO]	[]	[R_MALPYRI, R_GENDO]	[]
geraniol_degrdation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glutamate_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glutamate_metabolism	[R_GDH1]	[]	[]	[R_GDH1]	[]	[]	[R_GDH1]	[]	[]	[]	[]
glutamate_metabolism	[R_GDH1]	[]	[]	[R_GDH1]	[]	[]	[R_GDH1]	[]	[]	[]	[]
glutamine_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glutamine_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glutathione_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glutathione_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glutathione_metabolism	[]	[R_GTDR]	[R_GTDR]	[R_GTDR]	[]	[R_GTDR]	[]	[]	[R_GTDR]	[]	[R_GTDR]
glutathione_redox_reactions	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glycerol_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glycerol_metabolism	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glycerolipid_metabolism	[R_ALCDgl]	[R_ALCDgl]	[R_ALCDgl]	[R_ALCDgl]	[R_ALCDgl]	[R_ALCDgl]	[R_ALCDgl]	[R_ALCDgl]	[]	[]	[R_ALCDgl]
glycerophospholipid_metabolism	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glycerophospholipid_metabolism	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glycine_and_serine_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glycine_and_serine_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glycine_betain_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glycine_serine_and_threonine_metabolism	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glycine_serine_and_threonine_metabolism	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glycogen_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[R_GBEZ]	[]
glycogen_degradation	[]	[R_MALT]	[]	[]	[R_MALT]	[R_AMALT4, R_AMALT3, R_AMALT2, R_AMALT1, R_GLDBRAN2]	[]	[R_MALT]	[]	[R_AAMYL3, R_AMALT4, R_AMALT3, R_AMALT2, R_MALT, R_AMALT1, R_GLDBRAN2, R_AAMYL2, R_AAMYL]	[]
glycolate_and_glyoxylate_degradation	[]	[]	[]	[R_GLXCL]	[]	[]	[]	[R_GLXCL]	[]	[]	[]
glycolysis_gluconeogenesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glycolysis_gluconeogenesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glyoxylate_and_dicarboxylate_metabolism	[]	[R_FORA]	[R_FORA]	[]	[R_FORA]	[R_FORA]	[]	[R_FORA]	[R_FORA]	[R_FORA]	[R_FORA]
glyoxylate_cycle_	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
haloacid_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
